客户ID,姓名,性别,出生日期,年龄,年龄段,婚姻状况,家庭结构,子女数量,是否有老人,教育程度,职业类别,职业,年收入,收入段,所在省份,所在城市等级,所在区域,获客渠道,获客日期,持有保单数,总年缴保费,客户价值等级,风险等级,互动频次,活跃度等级,互动评分,续保倾向评分,增购倾向评分,投诉次数,理赔次数总计
CUST00000308,吴宁颖,女,1989-03-21,37,中青,已婚,三代同堂,3,0,大专,1,公务员,17083.63,<5万,山西,二线,华北,转介绍,2021-08-08,0,0.0,低价值,低风险,4,一般,38.18,0.565,0.5936,0,0
CUST00000309,孙宁,男,2003-02-02,23,青年,未婚,单身,0,0,本科,2,农民,14079.12,<5万,山西,四线及以下,华北,广告投放,2021-07-18,4,6494.049999999999,大众,中低风险,4,一般,43.94,0.7328,0.8277,0,0
CUST00000310,蒋林,男,1986-08-24,39,中青,离异,二人世界,0,0,高中及以下,1,IT技术,22839.3,<5万,河北,四线及以下,华北,转介绍,2019-07-26,1,2825.99,大众,低风险,4,活跃,56.22,0.6158,0.7047,0,0
CUST00000311,潘博,男,1986-04-09,40,中青,已婚,三口之家,1,0,大专,2,自由职业,78711.29,5-10万,河南,二线,华中,自然流量,2024-10-07,6,11194.69,高净值,中风险,5,一般,34.24,0.7077,0.88,0,1
CUST00000312,贺勇,男,1992-04-17,34,青壮,已婚,三口之家,1,1,高中及以下,2,个体经营,39402.27,<5万,新疆,三线,西北,转介绍,2022-08-07,1,335.69,低价值,中风险,19,高度活跃,84.78,0.7457,0.7998,0,0
CUST00000313,沈健,男,1990-03-21,36,中青,已婚,二人世界,0,0,高中及以下,1,教师,10353.73,<5万,甘肃,四线及以下,西北,代理人拓展,2025-06-13,1,2370.78,大众,低风险,7,一般,38.19,0.5771,0.6343,0,0
CUST00000314,汪杰,男,1987-02-05,39,中青,未婚,二人世界,0,0,硕士,1,教师,22641.32,<5万,河南,四线及以下,华中,广告投放,2020-11-05,3,6435.5,核心,低风险,9,沉睡,28.11,0.5786,0.8432,0,6
CUST00000315,熊伟,男,1988-03-23,38,中青,已婚,单身,0,1,本科,1,企业职员,41997.09,<5万,陕西,二线,西北,自然流量,2020-07-14,1,868.52,大众,低风险,1,流失,9.74,0.4062,0.7723,0,0
CUST00000316,尹晨恒,男,1980-03-30,46,中年,离异,单身,0,0,本科,2,个体经营,70821.01,5-10万,海南,二线,华南,企业合作,2022-11-20,3,5870.76,高净值,中低风险,5,沉睡,29.53,0.5478,0.869,1,1
CUST00000317,金逸,男,1996-11-02,29,青壮,已婚,四口之家,2,1,大专,1,金融从业,187152.58,10-20万,重庆,新一线,西南,转介绍,2018-04-08,2,1831.0900000000001,核心,中低风险,6,一般,45.3,0.5468,0.9332,0,2
CUST00000318,康艺梅,女,1948-05-03,78,老年,已婚,单身,0,0,高中及以下,3,工人,4284.77,<5万,湖南,四线及以下,华中,自然流量,2022-06-28,3,4305.11,低价值,中高风险,5,活跃,70.51,0.7337,0.7835,0,0
CUST00000319,洪峰飞,男,1994-04-06,32,青壮,已婚,三口之家,1,0,高中及以下,1,公务员,40015.75,<5万,四川,新一线,西南,转介绍,2024-06-05,1,1150.99,大众,中低风险,7,一般,37.57,0.5839,0.8074,0,1
CUST00000320,孔琴,女,1984-08-03,41,中青,已婚,三口之家,1,0,高中及以下,0,学生,9893.41,<5万,海南,三线,华南,广告投放,2020-01-17,2,2504.0,大众,低风险,7,一般,33.1,0.5672,0.7391,0,1
CUST00000321,余雪艺,女,2000-05-24,26,青壮,未婚,单身,0,0,大专,2,服务业,20811.8,<5万,陕西,新一线,西北,广告投放,2021-12-16,2,2472.57,大众,中低风险,6,一般,32.79,0.6002,0.7958,0,0
CUST00000322,郭丹欣,女,1992-05-10,34,青壮,已婚,单身,0,1,本科,1,金融从业,153159.31,10-20万,重庆,新一线,西南,广告投放,2021-08-23,4,9953.51,高净值,低风险,2,活跃,77.46,0.7497,0.8582,0,1
CUST00000323,冯逸鹏,男,1972-05-12,54,中年,已婚,空巢,0,0,本科,2,个体经营,87661.42,5-10万,安徽,二线,华东,活动获客,2024-05-10,1,2722.23,核心,中风险,7,活跃,55.6,0.7154,0.7699,0,0
CUST00000324,阎宁,女,1985-11-20,40,中青,已婚,四口之家,2,0,高中及以下,1,企业职员,24603.17,<5万,吉林,四线及以下,东北,转介绍,2018-09-18,2,2906.78,大众,中低风险,3,一般,54.68,0.769,0.7822,0,0
CUST00000325,高雅娟,女,2000-09-20,25,青年,未婚,单身,0,0,硕士,1,IT技术,308035.36,20-50万,河南,一线,华中,企业合作,2021-06-16,3,3634.73,高净值,中低风险,3,沉睡,29.44,0.5602,0.9175,0,5
CUST00000326,廖娟,女,1996-09-21,29,青壮,已婚,单身,0,0,本科,0,退休,29957.11,<5万,四川,三线,西南,自然流量,2020-07-24,2,2337.9700000000003,大众,低风险,5,活跃,62.18,0.7442,0.7356,0,0
CUST00000327,张诗秀英,女,1990-09-24,35,青壮,未婚,三代同堂,1,0,本科,0,学生,79613.62,5-10万,湖北,一线,华中,企业合作,2022-12-03,0,0.0,低价值,低风险,9,沉睡,17.0,0.5196,0.821,0,0
CUST00000328,孟艳,女,1962-05-20,64,中老,丧偶,空巢,2,0,本科,1,医生,359466.29,20-50万,福建,新一线,华东,活动获客,2018-11-28,3,2112.02,高净值,中风险,7,活跃,62.52,0.749,0.9143,1,0
CUST00000329,林梦彤,女,1989-01-28,37,中青,已婚,四口之家,2,0,大专,1,IT技术,42825.17,<5万,河北,二线,华北,活动获客,2018-04-25,1,1236.43,大众,中低风险,5,沉睡,29.34,0.3714,0.781,0,0
CUST00000330,贺泽晨,男,1986-10-16,39,中青,已婚,二人世界,0,0,高中及以下,2,农民,60100.1,5-10万,江苏,二线,华东,广告投放,2018-09-25,1,1084.2,大众,中风险,7,一般,32.58,0.4875,0.8352,0,0
CUST00000331,夏秀英雨,女,1973-10-01,52,中年,已婚,二人世界,0,1,大专,1,教师,66457.13,5-10万,吉林,新一线,东北,活动获客,2023-08-22,0,0.0,低价值,中低风险,7,沉睡,23.89,0.4462,0.7273,0,0
CUST00000332,程恒宇,男,1973-02-05,53,中年,已婚,二人世界,1,0,本科,1,医生,16419.4,<5万,吉林,二线,东北,自然流量,2018-03-14,3,4690.32,大众,中低风险,5,一般,49.62,0.5836,0.7996,0,1
CUST00000333,彭莉,女,2005-07-25,20,青年,未婚,单身,0,0,高中及以下,1,公务员,15455.51,<5万,上海,一线,华东,企业合作,2020-10-12,2,2726.8599999999997,大众,低风险,3,一般,46.64,0.5641,0.7636,0,1
CUST00000334,梁诗彤,女,1997-08-01,28,青壮,离异,三口之家,1,0,高中及以下,2,服务业,23953.88,<5万,湖南,二线,华中,自然流量,2025-12-31,4,3724.7799999999997,大众,中风险,9,一般,49.02,0.579,0.8152,0,2
CUST00000335,赵峰辉,男,1981-08-30,44,中青,已婚,单身,0,1,高中及以下,1,金融从业,37620.26,<5万,浙江,四线及以下,华东,自然流量,2024-09-19,2,2276.6800000000003,大众,低风险,5,沉睡,14.01,0.573,0.8184,0,0
CUST00000336,田燕,女,1981-08-18,44,中青,未婚,二人世界,0,1,高中及以下,0,退休,31189.33,<5万,湖南,四线及以下,华中,广告投放,2018-06-27,3,8610.02,核心,低风险,6,沉睡,20.52,0.405,0.8274,0,5
CUST00000337,戴哲伟,男,1973-06-17,52,中年,已婚,三口之家,0,1,本科,1,金融从业,113533.59,10-20万,贵州,二线,西南,活动获客,2023-06-23,3,3674.63,高净值,低风险,7,一般,43.41,0.7,0.8848,0,2
CUST00000338,陈玲,女,1968-08-23,57,中老,未婚,三口之家,0,0,本科,1,IT技术,21002.42,<5万,天津,三线,华北,自然流量,2020-02-11,1,1268.56,大众,中低风险,7,一般,50.57,0.6646,0.7057,0,1
CUST00000339,周飞宇,男,1975-11-05,50,中年,已婚,二人世界,0,1,大专,1,医生,78861.2,5-10万,吉林,四线及以下,东北,代理人拓展,2020-08-03,2,2259.76,核心,中低风险,5,一般,42.31,0.6741,0.7957,0,2
CUST00000340,谭燕,女,1982-01-10,44,中青,已婚,三代同堂,2,0,高中及以下,1,教师,32910.13,<5万,辽宁,一线,东北,代理人拓展,2019-02-04,1,785.5,大众,中低风险,8,沉睡,13.95,0.4025,0.7197,0,0
CUST00000341,秦超,男,1994-01-21,32,青壮,已婚,四口之家,2,0,大专,1,IT技术,41348.16,<5万,吉林,三线,东北,广告投放,2018-09-27,1,2216.44,大众,中低风险,6,沉睡,15.35,0.4991,0.7087,0,1
CUST00000342,侯月琪,女,1988-08-07,37,中青,已婚,三口之家,1,1,大专,1,医生,25262.78,<5万,海南,四线及以下,华南,广告投放,2023-01-30,2,3714.05,大众,低风险,5,一般,43.18,0.6543,0.7333,0,0
CUST00000343,蔡莉云,女,1971-02-20,55,中年,已婚,空巢,0,0,高中及以下,1,企业职员,57253.8,5-10万,西藏,一线,西南,活动获客,2022-07-14,3,5175.08,核心,低风险,24,高度活跃,89.45,0.7256,0.8631,0,1
CUST00000344,熊梦,女,1983-10-18,42,中青,已婚,单身,0,0,大专,1,金融从业,168865.84,10-20万,黑龙江,新一线,东北,转介绍,2024-12-08,3,9808.93,高净值,中低风险,6,沉睡,15.71,0.6373,0.8922,0,2
CUST00000345,黄红,女,1977-12-05,48,中年,已婚,三代同堂,4,1,大专,1,公务员,15533.54,<5万,上海,四线及以下,华东,广告投放,2018-02-28,2,3697.0599999999995,大众,低风险,8,沉睡,13.43,0.5283,0.7851,0,0
CUST00000346,孔慧,女,1998-01-14,28,青壮,已婚,二人世界,0,1,本科,1,教师,23278.29,<5万,上海,二线,华东,代理人拓展,2025-05-13,5,8545.52,核心,中低风险,8,一般,30.36,0.7474,0.8662,0,2
CUST00000347,邵玲,女,1974-12-24,51,中年,未婚,二人世界,0,1,本科,2,个体经营,109292.55,10-20万,甘肃,一线,西北,代理人拓展,2020-06-05,2,2291.12,核心,中风险,8,活跃,64.75,0.6097,0.8927,0,2
CUST00000348,谭瀚华,男,1963-05-11,63,中老,已婚,二人世界,2,1,高中及以下,2,服务业,35300.77,<5万,江西,新一线,华东,代理人拓展,2018-09-23,3,7720.589999999999,核心,高风险,11,活跃,57.43,0.7874,0.8967,0,3
CUST00000349,沈瑶,女,1959-09-25,66,老年,已婚,单身,2,0,大专,2,自由职业,541256.8,50-100万,上海,二线,华东,转介绍,2023-10-24,3,9472.45,高净值,中风险,8,一般,41.32,0.7084,0.9289,0,3
CUST00000350,龙宁,男,2001-05-06,25,青年,未婚,单身,0,0,本科,0,学生,67297.63,5-10万,江苏,三线,华东,自然流量,2023-07-16,2,4106.0,核心,低风险,4,一般,54.92,0.7741,0.7611,0,0
CUST00000351,郑梅,女,1955-05-16,71,老年,离异,三代同堂,0,0,大专,1,医生,26749.41,<5万,云南,三线,西南,转介绍,2019-05-20,0,0.0,低价值,中高风险,4,沉睡,18.07,0.4189,0.7214,0,0
CUST00000352,蒋然杰,男,1965-03-09,61,中老,已婚,二人世界,0,0,本科,1,IT技术,14293.71,<5万,山东,四线及以下,华东,转介绍,2024-08-01,0,0.0,低价值,中风险,11,活跃,67.33,0.488,0.7651,1,0
CUST00000353,孟艳,女,1984-11-22,41,中青,已婚,单身,0,0,本科,1,IT技术,20871.97,<5万,福建,新一线,华东,转介绍,2024-01-11,3,4822.71,大众,中低风险,2,沉睡,28.24,0.6136,0.8047,0,1
CUST00000354,袁萱晓,女,1981-02-15,45,中青,已婚,三代同堂,3,0,高中及以下,2,自由职业,17527.41,<5万,黑龙江,二线,东北,转介绍,2023-04-08,1,1108.08,低价值,中风险,4,一般,42.98,0.5038,0.6135,0,3
CUST00000355,顾杰宁,男,1949-07-27,76,老年,已婚,空巢,0,0,高中及以下,1,企业职员,38934.41,<5万,黑龙江,二线,东北,广告投放,2019-05-01,3,6580.23,核心,中风险,5,一般,38.9,0.7121,0.8534,0,3
CUST00000356,侯佳,女,1957-07-08,68,老年,已婚,二人世界,1,0,本科,3,工人,162613.27,10-20万,广东,二线,华南,活动获客,2022-04-13,0,0.0,低价值,中高风险,7,一般,47.9,0.4898,0.8039,6,0
CUST00000357,冯琴,女,1982-01-12,44,中青,离异,三口之家,1,1,高中及以下,1,企业职员,102408.09,10-20万,浙江,新一线,华东,活动获客,2021-02-27,1,894.85,大众,中低风险,7,沉睡,15.59,0.5276,0.7383,0,0
CUST00000358,邓琴,女,1984-06-05,41,中青,已婚,二人世界,0,0,本科,1,医生,35144.35,<5万,青海,四线及以下,西北,企业合作,2018-03-07,3,7769.549999999999,核心,中低风险,14,高度活跃,85.93,0.7857,0.8518,0,3
CUST00000359,沈红,女,1992-04-30,34,青壮,已婚,三代同堂,2,0,硕士,1,公务员,35814.23,<5万,陕西,四线及以下,西北,自然流量,2024-08-24,4,8288.08,核心,中低风险,8,沉睡,23.36,0.6277,0.8363,0,2
CUST00000360,袁丽,女,1977-04-14,49,中年,已婚,三口之家,1,0,本科,2,服务业,72270.31,5-10万,陕西,二线,西北,自然流量,2021-08-29,3,2949.71,核心,中风险,4,活跃,67.65,0.7578,0.909,0,0
CUST00000361,胡雪慧,女,1988-01-28,38,中青,未婚,二人世界,0,0,大专,2,个体经营,24779.19,<5万,江苏,三线,华东,企业合作,2019-02-11,1,2102.23,大众,中风险,8,一般,52.18,0.625,0.7083,0,0
CUST00000362,夏军超,男,1990-06-24,35,青壮,未婚,三口之家,1,1,本科,2,自由职业,259164.7,20-50万,福建,新一线,华东,广告投放,2018-10-04,3,6083.29,高净值,中低风险,6,一般,31.93,0.7037,0.9471,0,1
CUST00000363,严恒林,男,1991-12-01,34,青壮,已婚,三代同堂,1,0,大专,0,学生,44580.33,<5万,河北,二线,华北,广告投放,2025-04-16,4,8595.96,核心,低风险,8,沉睡,11.41,0.6143,0.8498,0,4
CUST00000364,夏军,男,1949-09-28,76,老年,已婚,独居老人,0,0,大专,2,个体经营,33535.83,<5万,湖南,三线,华中,自然流量,2024-06-19,2,3981.8199999999997,大众,中高风险,2,一般,33.27,0.5405,0.8688,0,0
CUST00000365,袁兰瑶,女,1968-10-13,57,中老,未婚,二人世界,1,0,硕士,1,金融从业,19041.75,<5万,天津,二线,华北,转介绍,2025-02-09,8,12079.98,核心,中低风险,9,沉睡,10.99,0.7192,0.8776,0,7
CUST00000366,刘宇,男,1951-12-13,74,老年,离异,空巢,0,0,大专,0,学生,22192.94,<5万,宁夏,四线及以下,西北,活动获客,2021-06-26,2,4124.3,大众,低风险,9,沉睡,27.02,0.5273,0.858,0,1
CUST00000367,韩霞慧,女,1982-06-30,43,中青,已婚,三口之家,1,0,硕士,0,退休,112908.05,10-20万,福建,三线,华东,企业合作,2023-05-23,2,2103.12,核心,低风险,8,一般,35.97,0.6595,0.8726,0,0
CUST00000368,方蕾琪,女,1968-06-25,57,中老,已婚,空巢,0,1,硕士,1,IT技术,42534.01,<5万,四川,二线,西南,代理人拓展,2019-04-06,4,3815.6,核心,中风险,5,沉睡,10.2,0.5537,0.893,0,2
CUST00000369,冯博林,男,1968-12-26,57,中老,离异,三口之家,0,1,高中及以下,1,教师,14868.43,<5万,上海,三线,华东,广告投放,2024-09-12,0,0.0,低价值,中风险,3,沉睡,21.69,0.5401,0.8088,0,0
CUST00000370,谢雨,女,1995-09-15,30,青壮,已婚,单身,0,0,高中及以下,2,服务业,81343.51,5-10万,安徽,新一线,华东,广告投放,2024-11-03,3,5254.75,高净值,中风险,4,活跃,71.13,0.7504,0.7466,0,2
CUST00000371,冯颖芬,女,1999-10-16,26,青壮,未婚,单身,0,0,高中及以下,1,公务员,12778.44,<5万,安徽,二线,华东,企业合作,2024-11-23,1,1146.35,低价值,低风险,4,沉睡,20.09,0.5116,0.7561,0,0
CUST00000372,戴磊宁,男,1956-11-06,69,老年,已婚,单身,5,0,高中及以下,1,金融从业,75330.1,5-10万,宁夏,二线,西北,广告投放,2022-07-26,2,2544.9300000000003,核心,中高风险,4,沉睡,24.72,0.4622,0.8458,0,1
CUST00000373,萧远志,男,2016-04-20,10,少儿,未婚,单身,0,0,高中及以下,2,服务业,24752.3,<5万,黑龙江,二线,东北,广告投放,2022-05-02,1,1050.15,大众,中风险,1,沉睡,11.99,0.5451,0.7699,0,0
CUST00000374,戴辉,男,1976-03-21,50,中年,离异,二人世界,0,1,本科,1,教师,31930.83,<5万,湖南,三线,华中,代理人拓展,2020-08-13,3,5140.27,核心,低风险,6,一般,51.22,0.6699,0.7865,0,0
CUST00000375,万林,男,1997-06-05,28,青壮,已婚,三代同堂,2,0,高中及以下,0,学生,16357.79,<5万,山西,二线,华北,企业合作,2019-12-08,1,4578.79,大众,低风险,10,一般,31.29,0.4555,0.737,0,0
CUST00000376,曹翔,男,1962-03-13,64,中老,已婚,单身,2,1,大专,1,金融从业,46417.81,<5万,黑龙江,三线,东北,代理人拓展,2018-04-13,3,13238.57,高净值,中高风险,2,一般,34.0,0.602,0.92,0,4
CUST00000377,贾娜艳,女,1995-10-07,30,青壮,已婚,三代同堂,2,0,本科,1,教师,234505.76,20-50万,安徽,三线,华东,自然流量,2024-07-03,2,1837.3400000000001,高净值,中低风险,3,一般,35.91,0.6498,0.8887,0,2
CUST00000378,史然,男,1965-07-12,60,中老,已婚,单身,0,1,高中及以下,2,农民,62082.69,5-10万,贵州,二线,西南,广告投放,2025-04-02,3,3688.92,核心,中高风险,3,一般,36.49,0.7047,0.8468,0,2
CUST00000379,严强,男,1992-10-25,33,青壮,已婚,三口之家,1,1,本科,1,金融从业,22887.02,<5万,浙江,三线,华东,企业合作,2024-04-12,3,13424.880000000001,核心,中低风险,6,活跃,70.4,0.7793,0.8479,0,3
CUST00000380,宋宁玲,女,1969-03-21,57,中老,已婚,单身,1,1,高中及以下,0,学生,103411.67,10-20万,广西,新一线,华南,自然流量,2023-11-23,3,8804.2,高净值,中风险,7,沉睡,24.19,0.4808,0.899,0,0
CUST00000381,梁燕,女,1994-07-24,31,青壮,已婚,三代同堂,3,0,高中及以下,1,金融从业,37416.35,<5万,天津,新一线,华北,企业合作,2025-07-02,1,1816.29,大众,低风险,5,活跃,56.79,0.6768,0.6401,0,0
CUST00000382,熊娟,女,1980-05-24,46,中年,未婚,三口之家,1,0,本科,1,教师,156708.0,10-20万,广西,二线,华南,自然流量,2020-08-29,4,9062.74,高净值,中低风险,8,沉睡,19.36,0.5082,0.9366,0,6
CUST00000383,江丹怡,女,1971-09-17,54,中年,已婚,二人世界,2,0,本科,2,农民,136904.34,10-20万,贵州,新一线,西南,企业合作,2026-04-29,1,851.01,大众,中低风险,7,一般,52.35,0.5567,0.7628,0,0
CUST00000384,郝波亮,男,1993-02-25,33,青壮,已婚,三口之家,1,0,硕士,1,金融从业,20600.13,<5万,新疆,一线,西北,广告投放,2021-08-18,4,8326.9,核心,中低风险,2,流失,7.26,0.4214,0.8165,0,3
CUST00000385,萧博逸,男,1997-10-10,28,青壮,已婚,三口之家,1,0,本科,1,公务员,20753.48,<5万,吉林,三线,东北,自然流量,2018-06-02,1,3071.44,大众,中低风险,8,沉睡,25.95,0.5056,0.7214,0,0
CUST00000386,戴雪,女,1967-12-16,58,中老,已婚,三口之家,0,0,本科,3,工人,115968.01,10-20万,黑龙江,二线,东北,广告投放,2020-08-14,1,1083.34,大众,高风险,8,一般,46.39,0.6523,0.8552,0,0
CUST00000387,邱颖燕,女,1996-11-05,29,青壮,已婚,单身,0,0,高中及以下,2,农民,39948.02,<5万,黑龙江,二线,东北,活动获客,2021-02-03,0,0.0,低价值,中低风险,9,一般,32.48,0.6858,0.8294,0,0
CUST00000388,段梅,女,2000-01-12,26,青壮,未婚,单身,0,0,高中及以下,1,金融从业,8772.68,<5万,广东,四线及以下,华南,活动获客,2019-12-31,0,0.0,低价值,低风险,24,高度活跃,86.38,0.7639,0.6703,0,0
CUST00000389,郭文晨,男,1989-11-22,36,中青,离异,三口之家,1,0,本科,2,个体经营,26898.14,<5万,安徽,三线,华东,转介绍,2018-03-15,0,0.0,低价值,中低风险,6,一般,41.27,0.5405,0.6755,0,0
CUST00000390,尹霞,女,1955-07-06,70,老年,丧偶,独居老人,1,0,本科,3,工人,7883.18,<5万,上海,四线及以下,华东,企业合作,2020-05-05,2,4340.52,大众,高风险,4,一般,33.05,0.4966,0.7414,0,2
CUST00000391,蔡丽,女,1982-08-08,43,中青,已婚,单身,0,0,博士,2,服务业,146334.47,10-20万,上海,新一线,华东,广告投放,2024-05-21,2,4708.77,高净值,中低风险,4,一般,49.8,0.6642,0.8372,1,0
CUST00000392,苏瀚涛,男,1999-12-30,26,青壮,已婚,二人世界,0,0,大专,0,学生,167424.69,10-20万,天津,三线,华北,广告投放,2022-04-23,2,1502.33,核心,低风险,6,一般,40.23,0.7017,0.8157,0,0
CUST00000393,余颖艳,女,1958-07-03,67,老年,离异,二人世界,2,0,大专,0,学生,44702.61,<5万,云南,四线及以下,西南,自然流量,2018-10-07,3,25404.769999999997,高净值,中低风险,10,沉睡,26.34,0.6569,0.8051,0,3
CUST00000394,杨红颖,女,1995-07-13,30,青壮,离异,二人世界,0,0,本科,2,自由职业,194194.78,10-20万,福建,三线,华东,代理人拓展,2020-02-26,2,6409.86,高净值,中风险,6,沉睡,29.6,0.4942,0.8464,0,2
CUST00000395,顾杰,男,1987-10-18,38,中青,未婚,四口之家,2,0,大专,1,公务员,66070.93,5-10万,河南,三线,华中,自然流量,2019-11-17,3,14730.95,高净值,中低风险,4,一般,52.64,0.6446,0.8543,0,0
CUST00000396,江睿宁,男,1976-11-01,49,中年,已婚,四口之家,2,0,硕士,2,自由职业,184370.14,10-20万,江西,二线,华东,广告投放,2022-04-29,1,1738.05,核心,中风险,6,一般,45.3,0.6012,0.8487,0,0
CUST00000397,谭月娜,女,1990-05-21,36,中青,已婚,三代同堂,0,0,本科,1,企业职员,429184.32,20-50万,湖北,一线,华中,企业合作,2020-08-26,2,4705.25,高净值,中低风险,8,沉睡,13.44,0.5316,0.9002,0,0
CUST00000398,黄晨博,男,1979-11-27,46,中年,已婚,单身,0,1,大专,2,服务业,66274.82,5-10万,广西,二线,华南,自然流量,2024-05-27,0,0.0,低价值,中风险,3,一般,41.17,0.4902,0.8723,1,0
CUST00000399,薛文哲,男,1949-03-27,77,老年,已婚,独居老人,0,0,本科,1,教师,52519.56,5-10万,四川,二线,西南,广告投放,2023-07-27,1,353.56,低价值,中风险,7,沉睡,25.14,0.3787,0.7572,0,0
CUST00000400,唐亮文,男,1988-04-05,38,中青,已婚,三代同堂,4,0,本科,2,个体经营,61679.88,5-10万,内蒙古,四线及以下,华北,自然流量,2026-02-27,3,8253.75,高净值,中低风险,5,一般,36.34,0.7161,0.8772,0,1
CUST00000401,牛远峰,男,1969-07-30,56,中老,离异,空巢,4,0,高中及以下,2,农民,129214.2,10-20万,辽宁,新一线,东北,活动获客,2021-03-11,2,4898.88,高净值,中高风险,7,一般,33.63,0.7123,0.8019,0,0
CUST00000402,吴莉,女,1992-02-24,34,青壮,已婚,单身,0,0,硕士,1,公务员,32091.38,<5万,河南,四线及以下,华中,广告投放,2020-02-07,4,9096.01,核心,中低风险,0,流失,9.8,0.4343,0.8995,0,0
CUST00000403,方霞,女,1992-10-20,33,青壮,未婚,三代同堂,1,0,大专,1,金融从业,15355.6,<5万,云南,四线及以下,西南,企业合作,2024-06-17,3,4210.34,大众,中低风险,11,一般,54.87,0.716,0.813,0,5
CUST00000404,康逸军,男,2005-07-18,20,青年,未婚,单身,0,0,本科,0,退休,85781.92,5-10万,吉林,新一线,东北,企业合作,2019-10-08,3,5446.67,高净值,低风险,3,活跃,63.53,0.7628,0.8354,1,3
CUST00000405,谭芬若,女,1983-10-30,42,中青,已婚,三口之家,1,0,大专,2,个体经营,91083.35,5-10万,河北,二线,华北,活动获客,2018-01-26,0,0.0,低价值,中风险,2,活跃,67.44,0.6567,0.6628,0,0
CUST00000406,任丹秀英,女,1969-08-28,56,中老,离异,二人世界,2,0,硕士,1,金融从业,78510.03,5-10万,浙江,四线及以下,华东,活动获客,2023-04-19,2,7514.4400000000005,高净值,中风险,6,沉睡,17.11,0.5399,0.8544,0,1
CUST00000407,傅思,男,1977-08-27,48,中年,已婚,二人世界,0,1,大专,1,金融从业,9390.15,<5万,湖北,四线及以下,华中,广告投放,2024-04-21,4,7050.32,大众,中低风险,2,沉睡,26.51,0.6587,0.8441,0,3
CUST00000408,卢凤婷,女,1999-12-20,26,青壮,已婚,二人世界,0,0,高中及以下,0,退休,136940.06,10-20万,云南,二线,西南,转介绍,2022-10-25,2,2041.76,核心,低风险,7,沉睡,20.62,0.4839,0.8873,0,1
CUST00000409,邱恒,男,1994-07-01,31,青壮,已婚,三口之家,1,0,硕士,1,公务员,57334.03,5-10万,海南,二线,华南,活动获客,2020-12-15,2,2462.05,核心,中低风险,8,沉睡,22.64,0.5144,0.8451,1,1
CUST00000410,崔燕静,女,1970-07-12,55,中年,已婚,空巢,0,0,高中及以下,3,工人,29840.71,<5万,天津,二线,华北,代理人拓展,2024-05-29,1,2738.51,大众,中高风险,4,一般,34.54,0.5123,0.7729,0,0
CUST00000411,牛红月,女,1985-02-01,41,中青,已婚,三代同堂,1,1,大专,2,个体经营,18938.42,<5万,云南,三线,西南,转介绍,2019-09-29,2,1745.9,大众,中低风险,8,一般,34.36,0.5099,0.7678,0,0
CUST00000412,秦雅雅,女,1971-08-13,54,中年,已婚,空巢,1,1,硕士,1,金融从业,771938.03,50-100万,重庆,新一线,西南,转介绍,2018-08-18,2,4958.6,高净值,低风险,5,活跃,68.72,0.7647,0.9431,0,0
CUST00000413,于超铭,男,1989-03-28,37,中青,已婚,三代同堂,4,1,硕士,2,农民,74476.55,5-10万,北京,三线,华北,转介绍,2023-10-02,2,3727.7200000000003,核心,中风险,8,沉睡,17.98,0.4436,0.8566,0,0
CUST00000414,彭雅,女,1995-04-22,31,青壮,已婚,三代同堂,2,0,本科,1,企业职员,59403.24,5-10万,吉林,一线,东北,转介绍,2026-03-21,1,172.8,低价值,中低风险,4,活跃,60.91,0.6848,0.723,0,0
CUST00000415,万晨,男,1969-11-27,56,中老,未婚,二人世界,1,0,本科,2,服务业,197310.35,10-20万,新疆,一线,西北,自然流量,2018-04-11,1,1755.96,核心,高风险,8,一般,47.53,0.623,0.8677,0,0
CUST00000416,杜文,男,1987-10-26,38,中青,未婚,三代同堂,1,0,大专,0,学生,87192.72,5-10万,安徽,二线,华东,广告投放,2022-01-30,1,1279.27,大众,低风险,8,活跃,70.18,0.6521,0.7903,0,1
CUST00000417,吕恒,男,2017-10-26,8,少儿,未婚,单身,0,0,高中及以下,0,退休,31500.71,<5万,四川,二线,西南,广告投放,2020-03-14,1,779.22,大众,低风险,4,一般,42.36,0.6135,0.6735,1,1
CUST00000418,雷娜,女,1948-08-26,77,老年,丧偶,空巢,0,0,大专,2,农民,91665.9,5-10万,青海,二线,西北,广告投放,2020-05-18,1,3073.47,核心,中高风险,8,沉睡,27.74,0.4319,0.7795,0,1
CUST00000419,曹伟伟,男,1995-01-10,31,青壮,已婚,二人世界,0,0,本科,3,工人,33600.48,<5万,广西,二线,华南,转介绍,2024-05-03,2,3847.4,大众,中风险,0,流失,5.43,0.5605,0.8105,0,1
CUST00000420,张颖佳,女,1990-08-12,35,青壮,已婚,三代同堂,2,0,本科,0,学生,42402.27,<5万,河北,二线,华北,广告投放,2022-12-24,0,0.0,低价值,低风险,7,沉睡,19.21,0.4255,0.76,0,0
CUST00000421,程丹怡,女,1983-07-11,42,中青,未婚,三代同堂,0,0,本科,0,学生,19057.44,<5万,广东,新一线,华南,企业合作,2018-01-02,1,1749.34,大众,低风险,3,沉睡,19.4,0.6511,0.7181,0,0
